"Brezposelni po trajanju iskanja dela, spolu in kohezijskih regijah, Slovenija, letno"

"KOHEZIJSKA REGIJA";"SPOL";"LETO";"Število (v 1000) ..Manj kot 1 mesec";"Število (v 1000) ..Od 1 do 5 mesecev";"Število (v 1000) ..Od 6 do 11 mesecev";"Število (v 1000) ..Od 12 do 23 mesecev";"Število (v 1000) ..24 in veè mesecev"
"SLOVENIJA";"Moški";"2008";1;8;3;4;6
"SLOVENIJA";"Moški";"2009";2;13;8;5;5
"SLOVENIJA";"Moški";"2010";1;12;8;12;9
"SLOVENIJA";"Moški";"2011";1;13;8;11;12
"SLOVENIJA";"Moški";"2012";1;13;8;11;13
"SLOVENIJA";"Moški";"2013";1;12;9;12;17
"SLOVENIJA";"Moški";"2014";1;12;8;10;18
"SLOVENIJA";"Moški";"2015";1;11;7;9;15
"SLOVENIJA";"Moški";"2016";1;10;6;9;14
"SLOVENIJA";"Moški";"2017";1;8;5;7;10
"SLOVENIJA";"Moški";"2018";2;8;4;6;6
"SLOVENIJA";"Ženske";"2008";1;8;3;5;6
"SLOVENIJA";"Ženske";"2009";2;12;5;5;5
"SLOVENIJA";"Ženske";"2010";1;12;6;8;7
"SLOVENIJA";"Ženske";"2011";1;12;7;9;9
"SLOVENIJA";"Ženske";"2012";1;12;8;11;12
"SLOVENIJA";"Ženske";"2013";1;13;9;11;16
"SLOVENIJA";"Ženske";"2014";1;12;8;12;16
"SLOVENIJA";"Ženske";"2015";1;11;7;11;17
"SLOVENIJA";"Ženske";"2016";1;10;7;9;13
"SLOVENIJA";"Ženske";"2017";1;11;6;7;10
"SLOVENIJA";"Ženske";"2018";1;9;5;7;6
