Brezposelni po trajanju iskanja dela, spolu in kohezijskih regijah, Slovenija, letno;;;;;;;;
;;;;;;;;
KOHEZIJSKA REGIJA;SPOL;LETO;Število (v 1000) Brezposelni - SKUPAJ;Število (v 1000) ..Manj kot 1 mesec;Število (v 1000) ..Od 1 do 5 mesecev;Število (v 1000) ..Od 6 do 11 mesecev;Število (v 1000) ..Od 12 do 23 mesecev;Število (v 1000) ..24 in veè mesecev
Vzhodna Slovenija;Moški;2008;14;1;5;2;3;4
Vzhodna Slovenija;Moški;2009;19;1;7;5;2;3
Vzhodna Slovenija;Moški;2010;23;1;5;5;7;5
Vzhodna Slovenija;Moški;2011;26;1;8;4;5;8
Vzhodna Slovenija;Moški;2012;27;1;7;4;6;9
Vzhodna Slovenija;Moški;2013;30;1;7;5;7;11
Vzhodna Slovenija;Moški;2014;29;1;7;4;7;10
Vzhodna Slovenija;Moški;2015;26;1;7;4;5;9
Vzhodna Slovenija;Moški;2016;22;1;6;3;5;7
Vzhodna Slovenija;Moški;2017;16;1;4;2;4;6
Vzhodna Slovenija;Moški;2018;15;1;4;2;4;4
Vzhodna Slovenija;Ženske;2008;16;1;5;2;4;4
Vzhodna Slovenija;Ženske;2009;19;1;8;3;3;4
Vzhodna Slovenija;Ženske;2010;20;N;7;4;4;5
Vzhodna Slovenija;Ženske;2011;24;N;7;4;5;6
Vzhodna Slovenija;Ženske;2012;27;1;7;5;6;8
Vzhodna Slovenija;Ženske;2013;30;N;7;5;7;11
Vzhodna Slovenija;Ženske;2014;31;N;8;5;7;11
Vzhodna Slovenija;Ženske;2015;29;1;7;4;7;11
Vzhodna Slovenija;Ženske;2016;25;1;6;4;6;8
Vzhodna Slovenija;Ženske;2017;20;1;7;3;4;6
Vzhodna Slovenija;Ženske;2018;15;1;5;2;4;3
Zahodna Slovenija;Moški;2008;9;1;4;1;1;2
Zahodna Slovenija;Moški;2009;15;1;6;3;3;2
Zahodna Slovenija;Moški;2010;19;N;6;4;5;4
Zahodna Slovenija;Moški;2011;19;N;5;4;5;4
Zahodna Slovenija;Moški;2012;19;N;6;3;5;4
Zahodna Slovenija;Moški;2013;21;N;5;4;6;6
Zahodna Slovenija;Moški;2014;20;N;5;3;4;8
Zahodna Slovenija;Moški;2015;18;1;4;3;4;6
Zahodna Slovenija;Moški;2016;18;N;4;3;4;6
Zahodna Slovenija;Moški;2017;16;1;4;3;3;4
Zahodna Slovenija;Moški;2018;11;1;4;2;2;2
Zahodna Slovenija;Ženske;2008;7;1;3;1;1;2
Zahodna Slovenija;Ženske;2009;9;1;4;2;2;1
Zahodna Slovenija;Ženske;2010;13;N;5;2;3;2
Zahodna Slovenija;Ženske;2011;15;1;5;2;4;3
Zahodna Slovenija;Ženske;2012;18;N;5;3;5;4
Zahodna Slovenija;Ženske;2013;21;N;6;4;5;6
Zahodna Slovenija;Ženske;2014;19;1;4;3;5;6
Zahodna Slovenija;Ženske;2015;18;N;4;3;4;6
Zahodna Slovenija;Ženske;2016;15;N;4;3;3;5
Zahodna Slovenija;Ženske;2017;15;N;5;3;2;5
Zahodna Slovenija;Ženske;2018;13;1;4;2;3;2
