Brezposelni po stopnjah dosežene izobrazbe, spolu in kohezijskih regijah, Slovenija, letno;;;;;
;;;;;
LETO;KOHEZIJSKA REGIJA;SPOL;IZOBRAZBA;MERITVE;Brezposelni po šolski izobrabi
2008;SLOVENIJA;Spol - SKUPAJ;Brez izobrazbe, nepopolna osnovnošolska;Število (v 1000);1
2008;SLOVENIJA;Spol - SKUPAJ;Osnovnošolska;Število (v 1000);8
2008;SLOVENIJA;Spol - SKUPAJ;Nižja ali srednja poklicna;Število (v 1000);12
2008;SLOVENIJA;Spol - SKUPAJ;Srednja strokovna, splošna;Število (v 1000);16
2008;SLOVENIJA;Spol - SKUPAJ;Višješolska, visokošolska;Število (v 1000);8
2009;SLOVENIJA;Spol - SKUPAJ;Brez izobrazbe, nepopolna osnovnošolska;Število (v 1000);2
2009;SLOVENIJA;Spol - SKUPAJ;Osnovnošolska;Število (v 1000);11
2009;SLOVENIJA;Spol - SKUPAJ;Nižja ali srednja poklicna;Število (v 1000);18
2009;SLOVENIJA;Spol - SKUPAJ;Srednja strokovna, splošna;Število (v 1000);22
2009;SLOVENIJA;Spol - SKUPAJ;Višješolska, visokošolska;Število (v 1000);8
2010;SLOVENIJA;Spol - SKUPAJ;Brez izobrazbe, nepopolna osnovnošolska;Število (v 1000);2
2010;SLOVENIJA;Spol - SKUPAJ;Osnovnošolska;Število (v 1000);15
2010;SLOVENIJA;Spol - SKUPAJ;Nižja ali srednja poklicna;Število (v 1000);20
2010;SLOVENIJA;Spol - SKUPAJ;Srednja strokovna, splošna;Število (v 1000);27
2010;SLOVENIJA;Spol - SKUPAJ;Višješolska, visokošolska;Število (v 1000);11
2011;SLOVENIJA;Spol - SKUPAJ;Brez izobrazbe, nepopolna osnovnošolska;Število (v 1000);2
2011;SLOVENIJA;Spol - SKUPAJ;Osnovnošolska;Število (v 1000);15
2011;SLOVENIJA;Spol - SKUPAJ;Nižja ali srednja poklicna;Število (v 1000);25
2011;SLOVENIJA;Spol - SKUPAJ;Srednja strokovna, splošna;Število (v 1000);28
2011;SLOVENIJA;Spol - SKUPAJ;Višješolska, visokošolska;Število (v 1000);14
2012;SLOVENIJA;Spol - SKUPAJ;Brez izobrazbe, nepopolna osnovnošolska;Število (v 1000);1
2012;SLOVENIJA;Spol - SKUPAJ;Osnovnošolska;Število (v 1000);16
2012;SLOVENIJA;Spol - SKUPAJ;Nižja ali srednja poklicna;Število (v 1000);24
2012;SLOVENIJA;Spol - SKUPAJ;Srednja strokovna, splošna;Število (v 1000);30
2012;SLOVENIJA;Spol - SKUPAJ;Višješolska, visokošolska;Število (v 1000);18
2013;SLOVENIJA;Spol - SKUPAJ;Brez izobrazbe, nepopolna osnovnošolska;Število (v 1000);1
2013;SLOVENIJA;Spol - SKUPAJ;Osnovnošolska;Število (v 1000);19
2013;SLOVENIJA;Spol - SKUPAJ;Nižja ali srednja poklicna;Število (v 1000);29
2013;SLOVENIJA;Spol - SKUPAJ;Srednja strokovna, splošna;Število (v 1000);34
2013;SLOVENIJA;Spol - SKUPAJ;Višješolska, visokošolska;Število (v 1000);19
2014;SLOVENIJA;Spol - SKUPAJ;Brez izobrazbe, nepopolna osnovnošolska;Število (v 1000);1
2014;SLOVENIJA;Spol - SKUPAJ;Osnovnošolska;Število (v 1000);17
2014;SLOVENIJA;Spol - SKUPAJ;Nižja ali srednja poklicna;Število (v 1000);29
2014;SLOVENIJA;Spol - SKUPAJ;Srednja strokovna, splošna;Število (v 1000);32
2014;SLOVENIJA;Spol - SKUPAJ;Višješolska, visokošolska;Število (v 1000);20
2015;SLOVENIJA;Spol - SKUPAJ;Brez izobrazbe, nepopolna osnovnošolska;Število (v 1000);0
2015;SLOVENIJA;Spol - SKUPAJ;Osnovnošolska;Število (v 1000);15
2015;SLOVENIJA;Spol - SKUPAJ;Nižja ali srednja poklicna;Število (v 1000);24
2015;SLOVENIJA;Spol - SKUPAJ;Srednja strokovna, splošna;Število (v 1000);33
2015;SLOVENIJA;Spol - SKUPAJ;Višješolska, visokošolska;Število (v 1000);19
2016;SLOVENIJA;Spol - SKUPAJ;Brez izobrazbe, nepopolna osnovnošolska;Število (v 1000);1
2016;SLOVENIJA;Spol - SKUPAJ;Osnovnošolska;Število (v 1000);13
2016;SLOVENIJA;Spol - SKUPAJ;Nižja ali srednja poklicna;Število (v 1000);18
2016;SLOVENIJA;Spol - SKUPAJ;Srednja strokovna, splošna;Število (v 1000);27
2016;SLOVENIJA;Spol - SKUPAJ;Višješolska, visokošolska;Število (v 1000);21
2017;SLOVENIJA;Spol - SKUPAJ;Brez izobrazbe, nepopolna osnovnošolska;Število (v 1000);0
2017;SLOVENIJA;Spol - SKUPAJ;Osnovnošolska;Število (v 1000);10
2017;SLOVENIJA;Spol - SKUPAJ;Nižja ali srednja poklicna;Število (v 1000);15
2017;SLOVENIJA;Spol - SKUPAJ;Srednja strokovna, splošna;Število (v 1000);23
2017;SLOVENIJA;Spol - SKUPAJ;Višješolska, visokošolska;Število (v 1000);19
2018;SLOVENIJA;Spol - SKUPAJ;Brez izobrazbe, nepopolna osnovnošolska;Število (v 1000);0
2018;SLOVENIJA;Spol - SKUPAJ;Osnovnošolska;Število (v 1000);8
2018;SLOVENIJA;Spol - SKUPAJ;Nižja ali srednja poklicna;Število (v 1000);12
2018;SLOVENIJA;Spol - SKUPAJ;Srednja strokovna, splošna;Število (v 1000);20
2018;SLOVENIJA;Spol - SKUPAJ;Višješolska, visokošolska;Število (v 1000);13
