Polnoletni obsojenci (znani storilci) po kaznivem dejanju, izobrazbi in statusu aktivnosti, Slovenija, letno;;;;;;;;;
;;;;;;;;;
AKTIVNOST;LETO;KAZNIVO DEJANJE - SKUPAJ Brez šolske izobrazbe;KAZNIVO DEJANJE - SKUPAJ Nedokonèana osnovnošolska izobrazba;KAZNIVO DEJANJE - SKUPAJ Osnovnošolska izobrazba;KAZNIVO DEJANJE - SKUPAJ Poklicna ali srednja (strokovna, splošna) izobrazba;KAZNIVO DEJANJE - SKUPAJ Višješolska izobrazba;KAZNIVO DEJANJE - SKUPAJ Visokošolska izobrazba I.stopnje;KAZNIVO DEJANJE - SKUPAJ Visokošolska izobrazba II.stopnje (magisterij nov);KAZNIVO DEJANJE - SKUPAJ Doktorat (magisterij star)
Zaposlen;2017;5;15;375;1432;56;36;84;16
Zaposlen;2018;8;19;351;1439;52;59;116;15
Samozaposlen;2017;1;4;51;239;12;12;19;2
Samozaposlen;2018;-;2;41;216;11;5;18;3
Kmet / pomagajoèi družinski èlan;2017;-;-;13;27;-;2;1;-
Kmet / pomagajoèi družinski èlan;2018;-;2;8;20;1;-;-;-
Brezposeln, išèe prvo zaposlitev;2017;18;4;349;199;5;2;6;2
Brezposeln, išèe prvo zaposlitev;2018;30;2;355;164;4;4;5;-
Brezposeln, že bil zaposlen;2017;-;2;389;779;27;9;34;4
Brezposeln, že bil zaposlen;2018;1;3;302;777;21;10;24;2
Uèenec, dijak;2017;-;-;151;46;1;-;5;-
Uèenec, dijak;2018;-;-;140;36;-;1;1;1
Študent;2017;-;1;3;86;2;5;4;-
Študent;2018;-;-;3;83;1;6;2;-
Upokojenec;2017;1;20;93;217;17;-;9;5
Upokojenec;2018;6;19;91;218;11;3;15;2
Prejemnik socialnih transferjev;2017;1;3;46;48;-;-;2;1
Prejemnik socialnih transferjev;2018;6;7;23;39;3;1;-;-
Druga neaktivna oseba;2017;29;21;450;700;14;11;21;8
Druga neaktivna oseba;2018;13;21;454;741;16;14;29;2
